note: This is not a comprehensive list of all Taco Bells. This is a list of all locations that have a store page on tacobell.com,,,,,,,,,,,,,,
data is current as of 28 August 2017,,,,,,,,,,,,,,
storeid,name,location-name,address,city,state,zip,phone,latitude,longitude,drive-thru,open-late,delivery,breakfast,combo w/
000002,Taco Bell #000002 - 1822 Santa Fe,1822 Santa Fe,1822 Santa Fe,Long Beach,CA,90810,(562) 983-1520,33.7904018,-118.2152617,yes,yes,yes,yes,
000015,Taco Bell #000015 - 6104 University Ave,6104 University Ave,6104 University Ave,San Diego,CA,92115,(619) 286-2756,32.7532362,-117.0643549,yes,yes,no,yes,
000017,Taco Bell #000017 - 1518 S San Gabriel,1518 S San Gabriel,1518 S San Gabriel,San Gabriel,CA,91776,(626) 280-3720,34.08114417,-118.0903459,yes,yes,no,yes,
000024,Taco Bell #000024 - 2204 N Garey,2204 N Garey,2204 N Garey,Pomona,CA,91767,(909) 392-9474,34.08851176,-117.7496888,yes,yes,no,yes,
000031,Taco Bell #000031 - 7847 E Mc Dowell Rd,7847 E Mc Dowell Rd,7847 E Mc Dowell Rd,Scottsdale,AZ,85257,(480) 946-6449,33.46549454,-111.9115448,yes,yes,yes,yes,
000048,Taco Bell #000048 - 2500 E Pacific Coast Hwy,2500 E Pacific Coast Hwy,2500 E Pacific Coast Hwy,Long Beach,CA,90804,(562) 498-7283,33.78964524,-118.1621616,yes,yes,yes,yes,
000057,Taco Bell #000057 - 3502 W Van Buren,3502 W Van Buren,3502 W Van Buren,Phoenix,AZ,85009,(602) 484-7712,33.45166338,-112.1348571,yes,yes,no,yes,
000067,Taco Bell #000067 - 9019 N 19th Ave.,9019 N 19th Ave.,9019 N 19th Ave.,Phoenix,AZ,85021,(602) 944-8000,33.5686276,-112.0992082,yes,yes,no,yes,
000071,Taco Bell #000071 - 1115 N San Fernando Blvd,1115 N San Fernando Blvd,1115 N San Fernando Blvd,Burbank,CA,91504,(818) 842-1810,34.18821721,-118.3191423,yes,yes,yes,yes,
000080,Taco Bell #000080 - 3101 E Thomas Rd,3101 E Thomas Rd,3101 E Thomas Rd,Phoenix,AZ,85016,(602) 955-9740,33.48011951,-112.0147832,yes,yes,yes,yes,
000081,Taco Bell #000081 - 2450 E Indian School Rd,2450 E Indian School Rd,2450 E Indian School Rd,Phoenix,AZ,85016,(602) 522-7160,33.49519423,-112.0285853,yes,yes,yes,yes,
000084,Taco Bell #000084 - 16901 Hawthorne Blvd,16901 Hawthorne Blvd,16901 Hawthorne Blvd,Lawndale,CA,90260,(310) 542-2564,33.8772367,-118.3529234,yes,yes,yes,yes,
000086,Taco Bell #000086 - 5958 Lankershim Blvd,5958 Lankershim Blvd,5958 Lankershim Blvd,North Hollywood,CA,91601,(818) 769-9916,34.17913701,-118.3829451,yes,no,yes,yes,
000114,Taco Bell #000114 - 7192 Westminster Blvd,7192 Westminster Blvd,7192 Westminster Blvd,Westminster,CA,92683,(714) 893-0996,33.75885969,-118.0035626,yes,yes,yes,yes,
000134,Taco Bell #000134 - 1113 E Colorado St,1113 E Colorado St,1113 E Colorado St,Glendale,CA,91205,(818) 956-6167,34.14283921,-118.2410963,yes,yes,yes,yes,
000141,Taco Bell #000141 - 3517 W Glendale Ave,3517 W Glendale Ave,3517 W Glendale Ave,Phoenix,AZ,85051,(602) 242-8730,33.53818006,-112.1350998,yes,yes,no,yes,
